time,temperature_2m_max (°C),temperature_2m_min (°C),apparent_temperature_max (°C),apparent_temperature_min (°C),sunrise (iso8601),sunset (iso8601),shortwave_radiation_sum (MJ/m²),rain_sum (mm),snowfall_sum (cm),windspeed_10m_max (km/h),windgusts_10m_max (km/h),winddirection_10m_dominant (°),et0_fao_evapotranspiration (mm),elevation,city
2018-01-29,30.5,26.4,35.3,30,2018-01-29 05:28,2018-01-29 17:56,16.61,6.3,0,24.7,51.5,288,3.83,0,su
2018-01-30,31.4,25.6,36.3,29.5,2018-01-30 05:28,2018-01-30 17:56,20.5,2.7,0,25,45.4,294,4.41,0,su
2018-01-31,30.1,25.1,34.7,28.1,2018-01-31 05:28,2018-01-31 17:56,18.62,5.7,0,22.4,53.3,294,3.98,0,su
2018-02-01,29.3,25.8,34.4,29.8,2018-02-01 05:28,2018-02-01 17:56,15.7,11.6,0,21.1,47.5,288,3.29,0,su
2018-02-02,30.7,25,36.4,29.2,2018-02-02 05:29,2018-02-02 17:56,20.67,9.1,0,18.8,45,287,4.22,0,su
2018-02-03,29.5,25.1,35,29.4,2018-02-03 05:29,2018-02-03 17:56,17.83,16.9,0,20.7,43.6,281,3.58,0,su
2018-02-04,31.3,25.2,37.1,30.3,2018-02-04 05:29,2018-02-04 17:56,21.86,6.5,0,16.7,36,276,4.45,0,su
2018-02-05,30.7,25.4,36.9,30.2,2018-02-05 05:30,2018-02-05 17:55,19.09,20.6,0,15.2,30.2,280,4.01,0,su
2018-02-06,30,24.8,33.7,28.5,2018-02-06 05:30,2018-02-06 17:55,12.84,0.5,0,19.8,36.7,280,3.04,0,su
2018-02-07,30.9,25,36,28.9,2018-02-07 05:30,2018-02-07 17:55,22.02,6.8,0,19.5,35.3,288,4.56,0,su
2018-02-08,28.4,24.9,32.7,29.2,2018-02-08 05:30,2018-02-08 17:55,12.03,5.9,0,16.9,31.3,284,2.52,0,su
2018-02-09,31.2,24.6,36.9,28.9,2018-02-09 05:31,2018-02-09 17:55,18.09,8.7,0,15.6,29.5,287,3.71,0,su
2018-02-10,31.1,24.6,37.8,29.3,2018-02-10 05:31,2018-02-10 17:55,20.97,3.8,0,11.2,23.4,286,4.34,0,su
2018-02-11,30.3,25.1,35.3,29.3,2018-02-11 05:31,2018-02-11 17:55,16.52,6.8,0,17.8,34.2,297,3.51,0,su
2018-02-12,29.8,25.1,33.9,29.3,2018-02-12 05:31,2018-02-12 17:54,17.23,3.6,0,22.2,39.6,285,3.78,0,su
2018-02-13,31,25.7,35.5,29.7,2018-02-13 05:31,2018-02-13 17:54,22.29,9.4,0,20.9,40,284,4.63,0,su
2018-02-14,31.8,25.2,36.2,29.1,2018-02-14 05:31,2018-02-14 17:54,16.53,1.1,0,19,36.7,286,3.87,0,su
2018-02-15,30.8,24.6,36.6,28,2018-02-15 05:32,2018-02-15 17:54,17.98,16.2,0,19.5,38.5,283,3.79,0,su
2018-02-16,29.7,24.5,33.8,28,2018-02-16 05:32,2018-02-16 17:53,15.45,4,0,21.3,42.5,285,3.48,0,su
2018-02-17,31.4,24.9,37,29,2018-02-17 05:32,2018-02-17 17:53,22.91,4.5,0,20.4,38.9,285,4.61,0,su
2018-02-18,31.5,25.5,37.1,30.4,2018-02-18 05:32,2018-02-18 17:53,20.83,0.8,0,14.3,28.8,288,4.33,0,su
2018-02-19,31.2,25.6,38.6,30.5,2018-02-19 05:32,2018-02-19 17:53,23.14,10,0,9,23,280,4.71,0,su
2018-02-20,31.9,25.2,39.5,30.2,2018-02-20 05:32,2018-02-20 17:52,21.02,12.4,0,11.6,27.4,288,4.29,0,su
2018-02-21,31.3,25.4,38.9,30.6,2018-02-21 05:32,2018-02-21 17:52,21.81,9.4,0,8.3,23,295,4.46,0,su
2018-02-22,31.4,25.1,38.5,29.6,2018-02-22 05:32,2018-02-22 17:52,17.87,9.4,0,7.5,20.5,266,3.76,0,su
2018-02-23,30.5,24.2,37,28.2,2018-02-23 05:32,2018-02-23 17:51,17.07,16.3,0,11.3,24.1,276,3.65,0,su
2018-02-24,28.7,25.5,34.3,30.6,2018-02-24 05:32,2018-02-24 17:51,14.93,9.7,0,11.5,24.5,292,3.04,0,su
2018-02-25,31,25,38,29.8,2018-02-25 05:32,2018-02-25 17:51,18.55,6.2,0,9.8,18,267,3.9,0,su
2018-02-26,29.1,25.2,35.4,29.8,2018-02-26 05:32,2018-02-26 17:50,15.89,6.3,0,9.7,21.2,269,3.28,0,su
2018-02-27,31.8,25,38.8,29.9,2018-02-27 05:33,2018-02-27 17:50,20.74,1,0,6.6,16.2,238,4.31,0,su
2018-02-28,30.3,25.8,38.1,31.5,2018-02-28 05:33,2018-02-28 17:50,22.82,3.6,0,9.4,20.2,276,4.6,0,su
2018-03-01,30.1,25.6,37.5,31.4,2018-03-01 05:33,2018-03-01 17:49,15.48,12.1,0,11.2,23.8,301,3.23,0,su
2018-03-02,32,26,39.6,31.1,2018-03-02 05:33,2018-03-02 17:49,22.36,2.4,0,10.3,20.9,288,4.63,0,su
2018-03-03,29.4,26.3,36,32.3,2018-03-03 05:33,2018-03-03 17:48,16.4,4.9,0,9.7,19.1,338,3.37,0,su
2018-03-04,32,25.8,40.3,31.1,2018-03-04 05:33,2018-03-04 17:48,20.9,5.2,0,6.2,23.8,253,4.35,0,su
2018-03-05,29.9,25.9,38.8,31.4,2018-03-05 05:33,2018-03-05 17:48,21.3,41.7,0,10.2,20.9,230,4.38,0,su
2018-03-06,32.1,25.1,39.8,30.7,2018-03-06 05:32,2018-03-06 17:47,23.06,2.8,0,10.3,21.6,278,4.88,0,su
2018-03-07,30.5,25.8,38.2,30.1,2018-03-07 05:32,2018-03-07 17:47,18.84,25.7,0,10.8,21.2,280,3.96,0,su
2018-03-08,31.6,25.3,38.5,29.9,2018-03-08 05:32,2018-03-08 17:46,17.98,10.4,0,12.5,27,281,3.78,0,su
2018-03-09,31.3,25.8,38.3,30.7,2018-03-09 05:32,2018-03-09 17:46,18.99,9,0,9.7,19.4,285,3.97,0,su
2018-03-10,31.6,25.5,38.5,30.2,2018-03-10 05:32,2018-03-10 17:45,19.88,13.1,0,10,19.4,274,4.14,0,su
2018-03-11,30,25.1,35.7,29.8,2018-03-11 05:32,2018-03-11 17:45,14.24,4.7,0,6.9,16.9,274,2.97,0,su
2018-03-12,29.1,26,36,31.5,2018-03-12 05:32,2018-03-12 17:44,15.88,21,0,7.5,19.8,239,3.31,0,su
2018-03-13,29.6,26,38.3,31,2018-03-13 05:32,2018-03-13 17:44,15.7,29.7,0,13.4,25.6,200,3.28,0,su
2018-03-14,31.8,25.3,38.5,30.5,2018-03-14 05:32,2018-03-14 17:43,19.81,8,0,8,22,263,4.2,0,su
2018-03-15,32.3,26.3,39.6,31.7,2018-03-15 05:32,2018-03-15 17:43,23.41,1,0,6,17.6,290,4.89,0,su
2018-03-16,31,25.8,38,31,2018-03-16 05:32,2018-03-16 17:43,20.88,8.8,0,7.9,22,270,4.38,0,su
2018-03-17,30.6,24.3,37.2,29.2,2018-03-17 05:32,2018-03-17 17:42,17.42,13.7,0,9.4,25.9,266,3.57,0,su
2018-03-18,31.7,24.3,39.2,29.4,2018-03-18 05:32,2018-03-18 17:42,20.52,5.6,0,8.3,23.8,139,4.32,0,su
2018-03-19,32.2,26.2,40.3,31.3,2018-03-19 05:32,2018-03-19 17:41,24.12,1.1,0,7.6,18.4,273,5.06,0,su
2018-03-20,32.9,26.3,39.7,31.6,2018-03-20 05:32,2018-03-20 17:41,25.21,0.6,0,10.4,20.5,299,5.35,0,su
2018-03-21,31.9,26.4,36.7,30.9,2018-03-21 05:31,2018-03-21 17:40,19.26,9.3,0,20,36.7,301,4.06,0,su
2018-03-22,30.3,25.8,34.8,30.3,2018-03-22 05:31,2018-03-22 17:40,11.01,8.6,0,18.4,35.3,293,2.59,0,su
2018-03-23,32,25,40,29.8,2018-03-23 05:31,2018-03-23 17:39,23.25,2.4,0,9,20.2,255,4.82,0,su
2018-03-24,31.6,26.9,39.2,32.9,2018-03-24 05:31,2018-03-24 17:39,19.85,4.4,0,7.3,21.6,270,4.13,0,su
2018-03-25,30.3,26.3,38.3,31.9,2018-03-25 05:31,2018-03-25 17:38,21.81,30.1,0,9.2,19.4,245,4.47,0,su
2018-03-26,31,25.5,38.4,31.1,2018-03-26 05:31,2018-03-26 17:38,17.22,3.4,0,6.6,18,282,3.63,0,su
2018-03-27,29.6,26.6,36.1,32.1,2018-03-27 05:31,2018-03-27 17:37,15.25,6.2,0,8.7,18.7,278,3.23,0,su
2018-03-28,32.5,26,39.5,31.3,2018-03-28 05:31,2018-03-28 17:37,21.96,3.2,0,8,20.5,285,4.61,0,su
2018-03-29,32.6,26.2,40.2,32.1,2018-03-29 05:31,2018-03-29 17:36,24,2.1,0,7.9,19.4,289,5.1,0,su
2018-03-30,31.5,26.5,39.1,31.6,2018-03-30 05:31,2018-03-30 17:36,22.09,4.3,0,11.9,23.4,286,4.58,0,su
2018-03-31,32.1,25.6,38.8,30.4,2018-03-31 05:30,2018-03-31 17:35,23.44,4.9,0,14.5,28.4,286,4.8,0,su
2018-04-01,32,25.8,40,31.2,2018-04-01 05:30,2018-04-01 17:35,21.72,5.3,0,13.8,29.2,269,4.5,0,su
2018-04-02,32.4,25.4,40.4,31.1,2018-04-02 05:30,2018-04-02 17:34,21.9,18.9,0,10.2,24.5,264,4.52,0,su
2018-04-03,31.7,25.3,39.2,30.5,2018-04-03 05:30,2018-04-03 17:34,20.96,4,0,7.2,22.3,285,4.38,0,su
2018-04-04,32.4,26,39.9,31.6,2018-04-04 05:30,2018-04-04 17:33,22.56,0.9,0,7.2,16.9,149,4.82,0,su
2018-04-05,33,27,40,32.7,2018-04-05 05:30,2018-04-05 17:33,23.39,0.3,0,11.1,17.3,128,5.16,0,su
2018-04-06,31.9,27.3,39.5,32.8,2018-04-06 05:30,2018-04-06 17:32,23.09,1.8,0,11.3,19.4,120,5,0,su
2018-04-07,31.5,26.3,38.3,31.6,2018-04-07 05:30,2018-04-07 17:32,20.09,5.3,0,12.8,26.3,104,4.32,0,su
2018-04-08,32,24.8,37.5,29.5,2018-04-08 05:30,2018-04-08 17:31,19.17,15.6,0,11.6,29.9,109,4.18,0,su
2018-04-09,32.3,26.6,38.2,32.1,2018-04-09 05:30,2018-04-09 17:31,19.59,4.3,0,11.3,31.3,126,4.21,0,su
2018-04-10,32.8,27.1,39,32.7,2018-04-10 05:29,2018-04-10 17:30,22.53,0,0,8.7,16.6,131,4.91,0,su
2018-04-11,33.2,27.5,39.4,32.9,2018-04-11 05:29,2018-04-11 17:30,23.25,0.5,0,10.9,20.9,111,5.19,0,su
2018-04-12,33.1,27.4,41.1,33.2,2018-04-12 05:29,2018-04-12 17:29,21.25,3.8,0,10.5,22.3,106,4.61,0,su
2018-04-13,32.3,27.5,40.1,33.7,2018-04-13 05:29,2018-04-13 17:29,21.48,3.8,0,8.4,22,120,4.58,0,su
2018-04-14,32,28,39.9,34.5,2018-04-14 05:29,2018-04-14 17:29,21.62,2.7,0,10.5,25.6,118,4.6,0,su
2018-04-15,33.7,27.5,41.8,33.6,2018-04-15 05:29,2018-04-15 17:28,22.49,0.7,0,5,14.4,150,4.8,0,su
2018-04-16,33.4,26.9,40.7,32.4,2018-04-16 05:29,2018-04-16 17:28,21.46,3.8,0,7.1,17.6,264,4.65,0,su
2018-04-17,33.1,27.1,40.8,32.3,2018-04-17 05:29,2018-04-17 17:27,19.92,10.3,0,7.6,19.4,284,4.24,0,su
2018-04-18,33,26.2,40.4,32,2018-04-18 05:29,2018-04-18 17:27,21.08,10.9,0,9,23.8,265,4.45,0,su
2018-04-19,32.7,26.1,40.4,31.7,2018-04-19 05:29,2018-04-19 17:26,21.22,1.2,0,7.6,19.8,161,4.54,0,su
2018-04-20,33.2,27.3,40.8,32.8,2018-04-20 05:29,2018-04-20 17:26,19.89,2.7,0,8.9,23,111,4.33,0,su
2018-04-21,32.8,26.8,39.5,32.7,2018-04-21 05:29,2018-04-21 17:26,17.99,5.8,0,10.1,22.3,89,3.89,0,su
2018-04-22,31.2,26.6,37.1,32.1,2018-04-22 05:29,2018-04-22 17:25,13.69,7.5,0,15,31.7,109,3.27,0,su
2018-04-23,32.8,26.4,39.8,31.9,2018-04-23 05:29,2018-04-23 17:25,18.97,8.9,0,13.4,31,110,4.04,0,su
2018-04-24,32.7,26.2,39.1,32.2,2018-04-24 05:29,2018-04-24 17:25,19.78,1.1,0,6.6,16.9,118,4.22,0,su
2018-04-25,33.3,26.4,38.7,32.4,2018-04-25 05:29,2018-04-25 17:24,20.34,1.7,0,7.8,18,119,4.42,0,su
2018-04-26,32.1,25,38.6,29.9,2018-04-26 05:29,2018-04-26 17:24,21.99,0.5,0,11.5,23.8,105,4.76,0,su
2018-04-27,32.5,27.4,38.6,32.5,2018-04-27 05:29,2018-04-27 17:24,21.47,1.5,0,13,27.7,114,4.82,0,su
2018-04-28,33,27,40.2,32.8,2018-04-28 05:29,2018-04-28 17:23,21.7,0.3,0,7.7,18.7,173,4.73,0,su
2018-04-29,33,26,37.7,30.4,2018-04-29 05:29,2018-04-29 17:23,23.66,0,0,9.5,19.8,121,5.31,0,su
2018-04-30,33.1,26,37.1,30.4,2018-04-30 05:29,2018-04-30 17:23,23.43,0.2,0,12.2,24.1,121,5.48,0,su
2018-05-01,32.7,26.4,37.1,30.5,2018-05-01 05:29,2018-05-01 17:22,23.69,0,0,11,23.4,128,5.47,0,su
2018-05-02,32.6,25.8,37.3,29.7,2018-05-02 05:29,2018-05-02 17:22,21.47,0,0,6.6,16.2,168,4.6,0,su
2018-05-03,32.2,26,37.3,29.8,2018-05-03 05:29,2018-05-03 17:22,21.2,0,0,8.7,18.7,121,4.72,0,su
2018-05-04,33,26,38,30.6,2018-05-04 05:29,2018-05-04 17:22,22.26,0,0,10.1,20.2,117,5.07,0,su
2018-05-05,32.6,26.2,37.5,30.4,2018-05-05 05:29,2018-05-05 17:21,23.27,0,0,15.1,28.1,118,5.36,0,su
2018-05-06,33.1,28.3,36.9,33.1,2018-05-06 05:29,2018-05-06 17:21,22.71,0,0,18.1,34.2,118,5.53,0,su
2018-05-07,32.9,27,38.2,31.6,2018-05-07 05:29,2018-05-07 17:21,23.14,0,0,14.2,27.7,115,5.25,0,su
2018-05-08,32.9,27.3,38.2,32.6,2018-05-08 05:29,2018-05-08 17:21,21.84,0,0,11.5,22.7,113,4.99,0,su
2018-05-09,32.6,26.4,37.4,31.3,2018-05-09 05:29,2018-05-09 17:20,23.03,0,0,14.9,28.4,112,5.3,0,su
2018-05-10,32.5,26.7,36.7,31.6,2018-05-10 05:30,2018-05-10 17:20,23.22,0,0,13.7,27.4,117,5.43,0,su
2018-05-11,32.9,26.6,38.5,30.9,2018-05-11 05:30,2018-05-11 17:20,22.8,0,0,10.8,20.2,107,5.19,0,su
2018-05-12,32.5,26.7,37,31.2,2018-05-12 05:30,2018-05-12 17:20,21.86,0,0,10.8,20.5,117,4.98,0,su
2018-05-13,33,26.4,37.3,30.9,2018-05-13 05:30,2018-05-13 17:20,22.06,0.2,0,12,24.5,117,5.09,0,su
2018-05-14,33,27,38.2,32,2018-05-14 05:30,2018-05-14 17:20,21.9,0,0,17.4,30.6,106,5.13,0,su
2018-05-15,31.4,27.9,36.2,33.6,2018-05-15 05:30,2018-05-15 17:20,13.6,4.2,0,12.6,31.7,112,3.38,0,su
2018-05-16,31.9,27.6,36.3,33.3,2018-05-16 05:30,2018-05-16 17:19,14.91,4.7,0,14.9,33.5,109,3.73,0,su
2018-05-17,31.9,27.5,37.5,32.9,2018-05-17 05:30,2018-05-17 17:19,18.92,3,0,11.3,24.1,112,4.18,0,su
2018-05-18,32.7,26.5,37.7,31.5,2018-05-18 05:31,2018-05-18 17:19,19.34,0.7,0,11.3,23,107,4.5,0,su
2018-05-19,32.6,26.7,37.3,31,2018-05-19 05:31,2018-05-19 17:19,18.84,0.4,0,10,19.4,106,4.31,0,su
2018-05-20,32.9,26.6,37.3,31.7,2018-05-20 05:31,2018-05-20 17:19,18.5,2.3,0,8.8,19.4,104,4.31,0,su
2018-05-21,31.1,27.2,35.1,32.4,2018-05-21 05:31,2018-05-21 17:19,13.89,5.3,0,11.8,30.6,107,3.45,0,su
2018-05-22,32.5,28.1,37.1,33,2018-05-22 05:31,2018-05-22 17:19,19.98,0,0,17.5,37.1,110,4.73,0,su
2018-05-23,32.3,27.9,38,32.7,2018-05-23 05:31,2018-05-23 17:19,17.66,6.2,0,17.3,46.8,104,4.12,0,su
2018-05-24,32.1,26.8,38.8,32.4,2018-05-24 05:32,2018-05-24 17:19,20.11,1.9,0,10.1,28.8,111,4.34,0,su
2018-05-25,33.3,27.4,38.5,32.7,2018-05-25 05:32,2018-05-25 17:19,19.59,3.7,0,10,27,92,4.29,0,su
2018-05-26,33.2,27,37.9,32.8,2018-05-26 05:32,2018-05-26 17:19,18.23,1.6,0,13.7,28.4,103,4.22,0,su
2018-05-27,33.2,26.8,37.5,31.7,2018-05-27 05:32,2018-05-27 17:19,19.68,0.4,0,8.9,18.7,128,4.42,0,su
2018-05-28,32.5,26.7,37.2,30.9,2018-05-28 05:32,2018-05-28 17:19,21.26,0,0,9.3,19.8,111,4.74,0,su
2018-05-29,32.6,26.6,36.6,31.1,2018-05-29 05:33,2018-05-29 17:19,20.21,0,0,11.2,23.4,117,4.72,0,su
2018-05-30,32.2,25.9,37.4,29.8,2018-05-30 05:33,2018-05-30 17:19,18.89,0,0,11.5,22.3,99,4.26,0,su
2018-05-31,32.3,26.2,37.7,30.4,2018-05-31 05:33,2018-05-31 17:19,20.46,0.1,0,13.4,27.7,86,4.54,0,su
2018-06-01,31.5,25.8,36,30.1,2018-06-01 05:33,2018-06-01 17:19,18.29,0.2,0,11.7,24.1,73,4.07,0,su
2018-06-02,32.1,25.9,36.9,30.1,2018-06-02 05:34,2018-06-02 17:19,20.18,0.2,0,11.3,23.8,76,4.46,0,su
2018-06-03,31.8,26.7,36.4,31,2018-06-03 05:34,2018-06-03 17:19,18.2,0,0,12,24.1,101,4.12,0,su
2018-06-04,31.8,26.7,36.9,31,2018-06-04 05:34,2018-06-04 17:19,17.22,0.3,0,13.1,25.9,108,3.92,0,su
2018-06-05,32,27,37.6,31.8,2018-06-05 05:34,2018-06-05 17:20,18.85,0.7,0,11,23.4,105,4.16,0,su
2018-06-06,32.3,26.7,38.3,32.5,2018-06-06 05:34,2018-06-06 17:20,18.85,0,0,8.2,19.4,94,4.19,0,su
2018-06-07,32,26.7,38,31,2018-06-07 05:35,2018-06-07 17:20,19.86,0.1,0,12.1,23,96,4.4,0,su
2018-06-08,32.2,26.7,37.8,31.7,2018-06-08 05:35,2018-06-08 17:20,19.77,0.6,0,11.8,22,99,4.46,0,su
2018-06-09,32.4,26,37.3,30.3,2018-06-09 05:35,2018-06-09 17:20,19.8,0.1,0,13.7,24.5,107,4.61,0,su
2018-06-10,32.1,25.8,36.8,30.6,2018-06-10 05:35,2018-06-10 17:20,20.76,0,0,12.4,24.8,109,4.74,0,su
2018-06-11,32.6,26.7,36.7,31.6,2018-06-11 05:36,2018-06-11 17:20,18.92,0.4,0,12.8,25.6,109,4.31,0,su
2018-06-12,32,26.6,37.5,31.4,2018-06-12 05:36,2018-06-12 17:21,18,1.1,0,10,22,115,3.88,0,su
2018-06-13,31.9,26,36.8,30.5,2018-06-13 05:36,2018-06-13 17:21,18.46,0,0,7.9,18,126,4.21,0,su
2018-06-14,31.8,25.1,35.8,28.6,2018-06-14 05:36,2018-06-14 17:21,21.4,0,0,11.1,20.2,124,4.95,0,su
2018-06-15,31.7,24.4,35.4,28.1,2018-06-15 05:37,2018-06-15 17:21,21.28,0,0,12.5,23.8,115,4.92,0,su
2018-06-16,31.6,25.1,35.9,29,2018-06-16 05:37,2018-06-16 17:21,21.21,0,0,13.9,24.1,121,4.79,0,su
2018-06-17,31.3,26.4,35.3,30.1,2018-06-17 05:37,2018-06-17 17:22,19.1,0,0,18.4,37.4,109,4.59,0,su
2018-06-18,31.2,26,34.6,29.6,2018-06-18 05:37,2018-06-18 17:22,19.71,0,0,18.2,33.8,114,4.58,0,su
2018-06-19,32,25.7,35.8,30.4,2018-06-19 05:38,2018-06-19 17:22,16.51,1.2,0,16.3,35.6,119,3.82,0,su
2018-06-20,31.7,25.9,36.8,30.9,2018-06-20 05:38,2018-06-20 17:22,16.06,4.3,0,11.5,32.4,101,3.57,0,su
2018-06-21,31,25.7,35.6,30.7,2018-06-21 05:38,2018-06-21 17:22,13.13,4.4,0,10.5,25.2,104,3.09,0,su
2018-06-22,31.5,25.9,35.8,31.4,2018-06-22 05:38,2018-06-22 17:23,18.78,0.9,0,12.5,23,109,4.15,0,su
2018-06-23,31.1,25.3,35.4,30.2,2018-06-23 05:38,2018-06-23 17:23,19.45,1.4,0,14.9,27,112,4.35,0,su
2018-06-24,31.8,26,35.5,30.6,2018-06-24 05:39,2018-06-24 17:23,19.39,0.1,0,15.3,30.2,110,4.49,0,su
2018-06-25,31.3,25.9,36.5,30.4,2018-06-25 05:39,2018-06-25 17:23,17.74,0,0,10.7,23.4,138,3.99,0,su
2018-06-26,30.7,25.2,34.8,29.2,2018-06-26 05:39,2018-06-26 17:23,17.26,0,0,8.2,17.6,126,3.82,0,su
2018-06-27,31.9,25.4,35,29.1,2018-06-27 05:39,2018-06-27 17:24,20.47,0.2,0,12.6,25.6,126,4.8,0,su
2018-06-28,31.6,25.1,35.5,28.8,2018-06-28 05:39,2018-06-28 17:24,20.36,0,0,10.4,21.6,127,4.53,0,su
2018-06-29,31.5,24.4,35.3,27.5,2018-06-29 05:40,2018-06-29 17:24,20.81,0,0,11.4,22.3,129,4.79,0,su
2018-06-30,31.6,24.7,35.7,28.2,2018-06-30 05:40,2018-06-30 17:24,20.61,0,0,11.2,22.3,122,4.61,0,su
2018-07-01,31.2,24.8,35.1,28.3,2018-07-01 05:40,2018-07-01 17:25,21.22,0,0,12.9,23.8,106,4.77,0,su
2018-07-02,31.1,24.5,35,28.8,2018-07-02 05:40,2018-07-02 17:25,21.05,0,0,9.9,20.9,101,4.55,0,su
2018-07-03,30.6,24.1,34.9,28.1,2018-07-03 05:40,2018-07-03 17:25,20.55,0,0,9.8,18,107,4.38,0,su
2018-07-04,31.5,25.3,35.1,29.2,2018-07-04 05:40,2018-07-04 17:25,17.76,0,0,11.9,25.9,141,4.07,0,su
2018-07-05,31.6,24.9,32.9,27.5,2018-07-05 05:40,2018-07-05 17:26,21.11,0,0,18.6,34.9,148,5.47,0,su
2018-07-06,31.3,23,32.8,25.3,2018-07-06 05:41,2018-07-06 17:26,21.2,0,0,12.2,23,133,4.9,0,su
2018-07-07,30.5,23.8,33.4,26.9,2018-07-07 05:41,2018-07-07 17:26,21.09,0,0,14.4,26.6,120,4.78,0,su
2018-07-08,30.7,24.1,34.1,27.8,2018-07-08 05:41,2018-07-08 17:26,21.18,0,0,13,23.8,112,4.76,0,su
2018-07-09,31.5,24,34.2,27.5,2018-07-09 05:41,2018-07-09 17:26,21.42,0,0,14.4,26.6,120,4.94,0,su
2018-07-10,31.5,24.3,34.6,27.9,2018-07-10 05:41,2018-07-10 17:27,21.37,0,0,15.3,28.4,125,4.95,0,su
2018-07-11,30.4,23.9,33.6,26.9,2018-07-11 05:41,2018-07-11 17:27,18.12,0,0,10.5,19.4,140,4.27,0,su
